anio_acci;nro_acci;fecha;desc_dia;hora_aprox;desc_ruta;km;cant_participantes;desc_participante;calle_avenida_km;total;heridos_leves;heridos_graves;heridos_gravisimos;ilesos;fallecidos;sin_datos;posicion_XY;desc_tipo_via;desc_ruta_ori;desc_loc;desc_dpto;desc_tipo_calzada;desc_tipo_banquina;desc_unidad_regional;desc_lugar_calzada;desc_zona;desc_prioridad;desc_estado_semaforo;desc_lugar_via;desc_estado_via;desc_estado_visibilidad;desc_luminosidad;desc_estado_clima;desc_tipo_colision;desc_tipo_atropello;desc_tipo_hecho;desc_pres_calzada;desc_senializacion;desc_separacion_via;desc_restriccion
2021;1;15/1/2021;Viernes;18:40:00;;0.0;2;Moto/Ciclomotor,Automóvil;Centeno Y Constitución;3;2;0;0;1;0;0;-32.97847, -60.68338;Calle;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;S/D;S/D;Colisión;Ninguna;Faltante;Ninguna;Sin restricción
2021;2;13/1/2021;Miercoles;13:10:00;;0.0;2;Moto/Ciclomotor,Moto/Ciclomotor;Vera Mujica Y Dr. Rivas;2;1;0;0;0;0;1;-32.97853, -60.67626;Calle;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;De alcance;S/D;Colisión;Ninguna;Faltante;Ninguna;Sin restricción
2021;3;14/1/2021;Jueves;00:50:00;;0.0;2;Moto/Ciclomotor,Pickup/Utilitario;Av. Battle y Ordoñez Y Santiago;2;1;0;0;1;0;0;-33.00942, -60.66742;Calle;;ROSARIO;Rosario;Asfalto;Pavimento;II;Dentro;Urbana;Ninguna;No existe;Intersección;Con baches;Reducida;Nocturna;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Faltante;Ninguna;Sin restricción
2021;4;12/1/2021;Martes;14:10:00;;0.0;2;Moto/Ciclomotor,Automóvil;Pje. Suriguez y Acha ;2;1;0;0;1;0;0;-33.00508, -60.65831;Calle;;ROSARIO;Rosario;Asfalto;Pavimento;II;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Frontal;S/D;Colisión;Ninguna;Faltante;Ninguna;Sin restricción
2021;5;11/1/2021;Lunes;18:00:00;;0.0;2;Peatón,Moto/Ciclomotor;Bv. Oroño ;2;1;0;0;0;0;1;-32.97201, -60.66032;Calle;;ROSARIO;Rosario;Asfalto;Pavimento;II;Dentro;Urbana;Semáforo;Funciona;Intersección;Bueno;Buena;Diurna;Buen Tiempo;S/D;Peatón;Colisión;Ninguna;Vertical;Cordón divisorio;Sin restricción
2021;7;13/1/2021;Miercoles;18:00:00;;0.0;2;Moto/Ciclomotor,Automóvil;Bv. Oroño Y Rueda;3;2;0;0;1;0;0;-32.96833, -60.65939;Calle;;ROSARIO;Rosario;Asfalto;No existe;II;S/D;Urbana;Otra Señal;Funciona;Intersección;Bueno;S/D;Diurna;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;S/D;Cordón divisorio,Vegetación;Sin restricción
2021;8;9/1/2021;Sabado;;;0.0;2;Moto/Ciclomotor,Moto/Ciclomotor;Benito Juárez Y Pje. Medici;3;1;0;0;2;0;0;-32.99249, -60.63536;Calle;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Otro;S/D;Colisión;Ninguna;Faltante;Ninguna;Sin restricción
2021;9;15/1/2021;Viernes;11:30:00;;0.0;3;Moto/Ciclomotor,Automóvil,Automóvil;Av. Uriburu Y Buenos Aires;3;1;0;0;2;0;0;-32.99063, -60.64359;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;S/D;Urbana;Semáforo;Funciona;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal,Vertical;Cordón divisorio;Sin restricción
2021;11;15/1/2021;Viernes;14:30:00;;0.0;2;Bicicleta,Moto/Ciclomotor;San Martin Y Pte. Quintana;2;1;0;0;1;0;0;-32.98291, -60.64507;Calle;;ROSARIO;Rosario;Asfalto;No existe;II;S/D;Urbana;Ninguna;S/D;Intersección;Bueno;Buena;Diurna;Buen Tiempo;S/D;Ciclista;Colisión;Ninguna;Horizontal,Vertical;Cordón divisorio;Sin restricción
2021;12;12/1/2021;Martes;11:25:00;;0.0;2;Automóvil,Moto/Ciclomotor;Buenos Aires Y Pje. 525;2;1;0;0;1;0;0;-33.01527, -60.64434;S/D;;ROSARIO;Rosario;Asfalto;S/D;II;S/D;S/D;S/D;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;S/D;Cordón divisorio;Sin restricción
2021;13;11/1/2021;Lunes;12:30:00;;0.0;2;Bicicleta,Automóvil;Menchaca Y Arteaga;2;1;0;0;1;0;0;-33.01128, -60.64337;Calle;;ROSARIO;Rosario;Asfalto;S/D;II;S/D;Urbana;S/D;S/D;Intersección;Bueno;Buena;Diurna;S/D;S/D;Ciclista;Colisión;Ninguna;S/D;Cordón divisorio;Sin restricción
2021;14;10/1/2021;Domingo;09:10:00;Ruta Secundaria 22-s;0.0;2;Bicicleta,Automóvil;San Martin Y Hortensia;2;1;0;0;0;0;1;-33.02198, -60.65352;Ruta;22-s;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;S/D;Ciclista;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;15;15/1/2021;Viernes;20:30:00;;0.0;2;Moto/Ciclomotor,Automóvil;Junín Y Suiza;3;2;0;0;1;0;0;-32.92691, -60.6876;Calle;;ROSARIO;Rosario;Asfalto;S/D;II;S/D;Urbana;S/D;S/D;Intersección;Bueno;S/D;Nocturna;Buen Tiempo;Otro;S/D;Colisión;S/D;S/D;Cordón divisorio;Sin restricción
2021;16;14/1/2021;Jueves;19:45:00;;0.0;2;Moto/Ciclomotor,Automóvil;Gálvez Y Necochea;4;3;0;0;1;0;0;-32.97129, -60.62975;Calle;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Amanecer;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;17;13/1/2021;Miercoles;08:50:00;;0.0;2;Bicicleta,Automóvil;Bv. 27 De Febrero Y Ayacucho;2;1;0;0;1;0;0;-32.9696, -60.63219;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;S/D;Ciclista;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;18;12/1/2021;Martes;17:20:00;;0.0;2;Moto/Ciclomotor,Automóvil;España Y Cerrito;2;1;0;0;1;0;0;-32.9604, -60.65045;Calle;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;19;11/1/2021;Lunes;12:30:00;;0.0;2;Moto/Ciclomotor,Taxi/Remis;Av. Belgrano Y Sgto. Cabral;2;1;0;0;1;0;0;-32.94291, -60.63396;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;S/D;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Otro;S/D;Colisión;Ninguna;Horizontal;Cordón divisorio;Sin restricción
2021;20;10/1/2021;Domingo;04:30:00;;0.0;2;Moto/Ciclomotor,Automóvil;Sarmiento Y Mendoza;2;1;0;0;1;0;0;-32.95148, -60.63945;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;S/D;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Nocturna;Buen Tiempo;Otro;S/D;Colisión;Ninguna;Horizontal;Cordón divisorio;Sin restricción
2021;21;9/1/2021;Sabado;21:20:00;;0.0;2;Moto/Ciclomotor,Moto/Ciclomotor;San Juan Y Mariano Moreno;2;2;0;0;0;0;0;-32.94797, -60.65154;Calle;;ROSARIO;Rosario;Asfalto;No existe;II;S/D;Urbana;Ninguna;Funciona;Intersección;Bueno;Buena;Nocturna;Buen Tiempo;Otro;S/D;Colisión;Ninguna;Horizontal;Cordón divisorio;Sin restricción
2021;22;14/1/2021;Jueves;;;0.0;2;Moto/Ciclomotor,Peatón;San Luis Y Sarmiento;2;1;0;0;1;0;0;-32.94902, -60.6389;Calle;;ROSARIO;Rosario;Asfalto;No existe;II;S/D;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Otro;Peatón;Colisión;Ninguna;Horizontal;Cordón divisorio;Sin restricción
2021;24;13/1/2021;Miercoles;12:40:00;;0.0;2;Pickup/Utilitario,Cuatriciclo;Bv  Cristóbal Colon Y Hipólito Yrigoyen;2;1;0;0;1;0;0;-33.01578, -61.04495;Calle;;PUJATO;San Lorenzo;Hormigón;No existe;XVII;S/D;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Otro;S/D;Colisión;Ninguna;Vertical;Cordón divisorio;Sin restricción
2021;25;12/1/2021;Martes;19:30:00;;0.0;2;Moto/Ciclomotor,Pickup/Utilitario;Bv Sarmiento Y Bartolomé Mitre;2;1;0;0;1;0;0;-32.9006, -60.9132;Calle;;ROLDÁN;San Lorenzo;Asfalto;No existe;XVII;S/D;Urbana;Policía de tránsito;No existe;Intersección;Bueno;Buena;Con luz artificial;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;26;13/1/2021;Miercoles;13:00:00;;0.0;2;Camión Chasis,Automóvil; ;3;3;0;0;0;0;0;-32.90338, -60.90821;Calle;;ROLDÁN;San Lorenzo;Asfalto;S/D;XVII;S/D;Urbana;Ninguna;No existe;Intersección;S/D;Buena;Nocturna;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;28;16/1/2021;Sabado;15:30:00;Ruta Nacional 175;0.0;2;Moto/Ciclomotor,Moto/Ciclomotor;9 de Julio Y Córdoba;2;1;0;0;0;0;1;-32.71715, -60.73334;Ruta;175;PUERTO SAN MARTÍN;San Lorenzo;Asfalto;No existe;XVII;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;29;14/1/2021;Jueves;17:30:00;;0.0;2;Moto/Ciclomotor,Pickup/Utilitario;THORNE Y VUCETICH;2;1;0;0;1;0;0;-32.67472, -60.7539;Calle;;PUERTO SAN MARTÍN;San Lorenzo;Ripio;No existe;XVII;Dentro;Rural;Ninguna;No existe;Intersección;Con baches;Buena;Diurna;Buen Tiempo;De alcance;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;30;12/1/2021;Martes;19:50:00;Ruta Nacional 175;0.0;2;Peatón,Automóvil;Córdoba Y Pte. Hipólito Irigoyen;2;1;0;0;0;0;1;-32.7144, -60.74909;Ruta;175;PUERTO SAN MARTÍN;San Lorenzo;Asfalto;No existe;XVII;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Atardecer;Buen Tiempo;S/D;Peatón;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;33;14/1/2021;Jueves;11:35:00;Ruta Nacional 11;0.0;2;Moto/Ciclomotor,Automóvil;Av. San Lorenzo ;2;1;0;0;1;0;0;-32.82348, -60.7141;Ruta;11;CAPITÁN BERMÚDEZ;San Lorenzo;Asfalto;Ripio;XVII;S/D;Urbana;S/D;No existe;Intersección;Bueno;Buena;Amanecer;S/D;S/D;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;34;15/1/2021;Viernes;13:50:00;Ruta Nacional 11;0.0;2;Moto/Ciclomotor,Pickup/Utilitario;Av. San Martin Y San Juan;2;1;0;0;1;0;0;-32.75149, -60.7342;Ruta;11;SAN LORENZO;San Lorenzo;S/D;S/D;XVII;S/D;Urbana;S/D;S/D;Intersección;S/D;S/D;Diurna;S/D;S/D;S/D;Colisión;S/D;S/D;Cordón divisorio;Sin restricción
2021;35;12/1/2021;Martes;18:20:00;Ruta Nacional 11;0.0;2;Pickup/Utilitario,Moto/Ciclomotor;Av. San Martin Y B de Astrada;2;1;0;0;1;0;0;-32.73988, -60.73401;Ruta;11;SAN LORENZO;San Lorenzo;S/D;S/D;XVII;S/D;Urbana;S/D;S/D;Intersección;S/D;S/D;Diurna;S/D;S/D;S/D;Colisión;S/D;S/D;Cordón divisorio;Sin restricción
2021;36;11/1/2021;Lunes;14:30:00;Ruta Nacional 11;0.0;1;Automóvil; ;2;2;0;0;0;0;0;-30.868195010187, -60.618206251930;Ruta;11;LUCIANO LEIVA;San Justo;Asfalto;Natural;XVI;Dentro;Urbana;Ninguna;No existe;Intersección;Con baches;Reducida;Diurna;Lluvia;Contra objeto fijo;S/D;Colisión,Despiste;Agua;Faltante;Cordón divisorio;Sin restricción
2021;37;10/1/2021;Domingo;03:15:00;;0.0;2;Moto/Ciclomotor,Moto/Ciclomotor;L de la Torre Y San Martin;3;3;0;0;0;0;0;-29.46462, -60.21153;Calle;;VERA;Vera;Asfalto;No existe;XIX;Dentro;Urbana;Ninguna;Intermitente;Intersección;Bueno;Buena;Nocturna;Buen Tiempo;Otro;S/D;Colisión;Ninguna;S/D;Cordón divisorio;Sin restricción
